cur,raw,raw_frames,cur_frames,start_cut,end_cut,start_s,end_s,kept_end_frame_raw,arm_onset,arm_end,speed_onset,speed_end,jaw_onset,jaw_end,load_onset,load_end,cur_t0,cur_frame0,vid_wrist_cur_from,vid_wrist_raw_from,vid_wrist_shift_vs_cut,vid_wrist_cur_len,vid_top_cur_from,vid_top_raw_from,vid_top_shift_vs_cut,vid_top_cur_len
143,157,390,275,81,34,2.7,1.133,355,96,338,96,339,132,270,172,263,0.0,0,127.333,243.767,-119.133,9.167,127.333,243.767,-119.133,9.167
144,158,423,307,73,43,2.433,1.433,379,87,357,86,352,111,259,156,251,0.0,0,136.5,256.767,-122.7,10.233,136.5,256.767,-122.7,10.233
145,159,599,332,57,210,1.9,7.0,388,73,371,73,372,140,276,149,270,0.0,0,146.733,270.867,-126.033,11.067,146.733,270.867,-126.033,11.067
146,160,445,365,36,44,1.2,1.467,400,53,384,53,387,132,268,121,263,0.0,0,157.8,290.833,-134.233,12.167,157.8,290.833,-134.233,12.167
147,161,342,287,47,8,1.567,0.267,333,64,320,64,321,78,213,114,208,0.0,0,169.967,305.667,-137.267,9.567,169.967,305.667,-137.267,9.567
148,162,395,328,25,42,0.833,1.4,352,40,335,39,335,68,241,114,235,0.0,0,179.533,317.067,-138.367,10.933,179.533,317.067,-138.367,10.933
149,163,451,381,20,50,0.667,1.667,400,38,383,39,384,64,274,113,268,0.0,0,190.467,330.233,-140.433,12.7,190.467,330.233,-140.433,12.7
150,164,398,320,30,48,1.0,1.6,349,49,338,49,337,60,229,130,218,0.0,0,203.167,345.267,-143.1,10.667,203.167,345.267,-143.1,10.667
151,165,529,320,57,152,1.9,5.067,376,73,356,72,358,84,267,160,260,0.0,0,213.833,358.533,-146.6,10.667,213.833,358.533,-146.6,10.667
152,166,599,277,55,267,1.833,8.9,331,71,331,71,314,140,229,149,220,0.0,0,224.5,376.167,-153.5,9.233,224.5,376.167,-153.5,9.233
153,167,599,287,56,256,1.867,8.533,342,52,323,52,323,147,235,154,598,0.0,0,233.733,396.133,-164.267,9.567,233.733,396.133,-164.267,9.567
154,168,599,305,27,267,0.9,8.9,331,43,312,43,306,81,221,7,595,0.0,0,243.3,416.1,-173.7,10.167,243.3,416.1,-173.7,10.167
155,169,599,286,20,293,0.667,9.767,305,36,286,36,281,78,211,1,593,0.0,0,253.467,436.067,-183.267,9.533,253.467,436.067,-183.267,9.533
156,170,599,296,46,257,1.533,8.567,341,63,324,62,324,145,249,132,587,0.0,0,263.0,456.033,-194.567,9.867,263.0,456.033,-194.567,9.867
157,171,599,339,39,221,1.3,7.367,377,56,358,55,346,123,273,13,598,0.0,0,272.867,476.0,-204.433,11.3,272.867,476.0,-204.433,11.3
158,172,599,341,22,236,0.733,7.867,362,37,346,37,347,76,285,2,594,0.0,0,284.167,495.967,-212.533,11.367,284.167,495.967,-212.533,11.367
159,173,428,288,42,98,1.4,3.267,329,58,311,58,312,117,213,23,413,0.0,0,295.533,515.933,-221.8,9.6,295.533,515.933,-221.8,9.6
160,174,599,377,0,222,0.0,7.4,376,3,360,2,346,44,224,21,532,0.0,0,305.133,530.2,-225.067,12.567,305.133,530.2,-225.067,12.567
161,175,599,310,65,224,2.167,7.467,374,64,356,64,357,85,259,50,245,0.0,0,317.7,0.0,315.533,10.333,317.7,550.167,-234.633,10.333
162,176,556,307,87,162,2.9,5.4,393,107,371,106,362,139,281,22,538,0.0,0,328.033,19.967,305.167,10.233,328.033,570.133,-245.0,10.233
